ID,Date,Symbol,Code,Company Name,Open Price,High Price,Low Price,Close Price,Volume,Previous Close
245,4-Jul-25,FIBLM,819,I.B.L.Modarab,4.79,4.89,4.5,4.55,38793,4.79
246,4-Jul-25,FIMM,819,Imrooz Modaraba,199.66,199.66,199.5,199.66,25,199.66
247,4-Jul-25,FLYNG,804,Flying Cement,55.67,56.25,55,55.7,174440,55.67
248,4-Jul-25,FLYNG-AUG,40,Flying Cement,0,0,0,56.97,0,57.01
249,4-Jul-25,FLYNG-JUL,40,Flying Cement,55.51,56.28,55.51,55.84,38500,56.38
250,4-Jul-25,FLYNG-SEP,40,Flying Cement,0,0,0,57.62,0,57.66
251,4-Jul-25,FML,829,Feroze 1888,83.49,83.49,82,83.49,289432,75.9
252,4-Jul-25,FNEL,813,F. Nat.Equities,4.44,4.62,4.2,4.28,7698600,4.41
253,4-Jul-25,FPJM,819,Punjab Mod,4.35,4.35,4.1,4.18,313348,4.35
254,4-Jul-25,FPRM,819,Paramount Mod,9.11,9.11,9.11,9.6,100,9.6
255,4-Jul-25,FRCL,811,Frontier Ceram,41.98,42.09,39,40,19667,41.98
256,4-Jul-25,FRSM,826,Faran Sugar Mills,40.05,40.8,39.6,39.91,7141,41.56
257,4-Jul-25,FTMM,819,F.Treet Manuf,14.59,14.59,14.59,14.59,6872,13.26
258,4-Jul-25,FTSM,819,Tri-Star 1st Mod.,14.24,14.24,13.1,14.19,1854,13.16
259,4-Jul-25,FZCM,829,Fazal Cloth,229.48,246.33,210.04,241.81,20880,223.94
260,4-Jul-25,GADT,830,Gadoon Textile,434,434,391.25,413.35,670768,416.08
261,4-Jul-25,GAL,801,Ghandhara Automobile,413,449.81,410,447.89,3417842,408.92
262,4-Jul-25,GAL-AUG,40,Ghandhara Automobile,0,0,0,458.07,0,418.74
263,4-Jul-25,GAL-JUL,40,Ghandhara Automobile,414.1,453.27,412.51,450.6,1186000,412.06
264,4-Jul-25,GAL-SEP,40,Ghandhara Automobile,0,0,0,463.36,0,423.56
265,4-Jul-25,GAMON,818,Gammon Pak,25.49,25.8,25,25.1,35587,25
266,4-Jul-25,GATI,827,Gatron Ind.,145,145.75,139.8,140.95,361244,145.16
267,4-Jul-25,GATM,829,Gul Ahmed,29,29.7,28.2,29.44,2913141,28.83
268,4-Jul-25,GATM-AUG,40,Gul Ahmed,0,0,0,30.11,0,29.52
269,4-Jul-25,GATM-JUL,40,Gul Ahmed,29.11,29.85,28.6,29.52,799500,29.05
270,4-Jul-25,GATM-SEP,40,Gul Ahmed,0,0,0,30.46,0,29.86
271,4-Jul-25,GCIL,805,Ghani Chemical,27.49,28.98,26.7,27.9,12520077,27.27
272,4-Jul-25,GCIL-AUG,40,Ghani Chemical,0,0,0,28.53,0,27.92
273,4-Jul-25,GCIL-JUL,40,Ghani Chemical,27.2,29,27.05,27.94,1931500,27.4
274,4-Jul-25,GCIL-SEP,40,Ghani Chemical,0,0,0,28.86,0,28.25
275,4-Jul-25,GCWL,805,Ghani Chemworld,11.1,11.86,11.1,11.86,20951565,10.78
276,4-Jul-25,GEMMEL,824,Mughal Energy Ltd,22,22,22,22,500,22
277,4-Jul-25,GEMNETS,828,Nets International,30.99,31,30.99,31,3000,32
278,4-Jul-25,GEMPACRA,818,The Pakistan Credit,21,22.5,20.65,21.06,153329,20.67
279,4-Jul-25,GEMSPNL,828,Supernet Ltd.XB,39.5,39.9,39.5,39.5,42795,39.5
280,4-Jul-25,GFIL,829,Ghazi Fabrics,10.3,10.4,9.5,9.97,31502,9.93
281,4-Jul-25,GGGL,811,GhaniGlobalGlass,9.98,10.3,9.8,10.08,4917152,9.98
282,4-Jul-25,GGL,805,Ghani Glo Hol,18.75,19.49,18.61,18.77,19523404,18.69
283,4-Jul-25,GGL-AUG,40,Ghani Glo Hol,0,0,0,19.2,0,19.14
284,4-Jul-25,GGL-JUL,40,Ghani Glo Hol,18.98,19.6,18.7,18.86,4898000,18.8
285,4-Jul-25,GGL-SEP,40,Ghani Glo Hol,0,0,0,19.42,0,19.36
286,4-Jul-25,GHGL,811,Ghani Glass Ltd,42.25,43.49,40.51,41.11,579896,42.02
287,4-Jul-25,GHGL-AUG,40,Ghani Glass Ltd,0,0,0,42.04,0,43.03
288,4-Jul-25,GHGL-JUL,40,Ghani Glass Ltd,42,42,41.24,41.3,15000,42.3
289,4-Jul-25,GHGL-SEP,40,Ghani Glass Ltd,0,0,0,42.53,0,43.52
290,4-Jul-25,GHNI,801,Ghandhara Ind.,706.72,744,702.2,738.08,1636995,699.67
291,4-Jul-25,GHNI-AUG,40,Ghandhara Ind.,739.99,740,739.99,740,1500,716.46
292,4-Jul-25,GHNI-JUL,40,Ghandhara Ind.,711.75,747,707,742.75,584500,704.63
293,4-Jul-25,GHNI-SEP,40,Ghandhara Ind.,0,0,0,763.57,0,724.71
294,4-Jul-25,GLAXO,823,GlaxoSmithKline,394.99,400,388,399.02,802541,390.93
295,4-Jul-25,GLAXO-AUG,40,GlaxoSmithKline,0,0,0,408.09,0,400.31
296,4-Jul-25,GLAXO-JUL,40,GlaxoSmithKline,392,399.99,392,399.99,1000,393
297,4-Jul-25,GLAXO-SEP,40,GlaxoSmithKline,0,0,0,412.8,0,404.92
298,4-Jul-25,GLPL,810,Gillette Pak,239.99,239.99,225,237.72,957,241.41
299,4-Jul-25,GOC,818,GOC (Pak) Ltd.,85,85,79.01,84.7,1942,84.87
300,4-Jul-25,GRR,836,Globe Residency,19.7,19.9,19,19.25,46978,19.25
301,4-Jul-25,GRYL,815,Grays Leasing,7.55,7.99,6.81,7.08,237563,7.66
302,4-Jul-25,GSPM,830,Gulshan Sp.,4,4.14,3.95,4.02,7915,3.99
303,4-Jul-25,GTYR,802,Ghandhara Tyre,43.6,47.89,43.6,47.89,4876249,43.54
304,4-Jul-25,GUSM,830,Gulistan Sp.,7.76,7.76,7.76,8,1,8
305,4-Jul-25,GVGL,811,Ghani Value Glass,57.02,59.85,55.55,56.38,7776,57.02
306,4-Jul-25,GWLC,804,Gharibwal Cement,48.51,49.18,48.35,48.71,198191,48.67
307,4-Jul-25,HABSM,826,Habib Sugar,79.01,84.89,79.01,83.37,12696,80.13
308,4-Jul-25,HAEL,829,Hala Enterprise,22.24,23.98,21.6,23.98,332996,21.8
309,4-Jul-25,HAFL,829,Hafiz Limited,265.01,299.9,265.01,285.05,7,285.05
310,4-Jul-25,HALEON,823,Haleon Pakistan,793,813,781.5,785.06,90452,790.02
311,4-Jul-25,HASCOL,821,Hascol Petrol,10.3,10.67,10.17,10.44,15836749,10.19
312,4-Jul-25,HBL,807,Habib Bank,185.8,197.51,184.3,196.71,4952704,186.36
313,4-Jul-25,HBL-AUG,40,Habib Bank,0,0,0,201.18,0,190.83
314,4-Jul-25,HBL-JUL,40,Habib Bank,188,198.8,187,197.45,345500,188.06
315,4-Jul-25,HBL-SEP,40,Habib Bank,0,0,0,203.5,0,193.03
316,4-Jul-25,HBLTETF,837,HBL Total TreasuryXD,111,119,106.02,111.03,74600,110.48
317,4-Jul-25,HCAR,801,Honda Atlas CarsXD,282.15,295.1,281,290.39,1782258,282.06
318,4-Jul-25,HGFA,806,HBL Growth FundXD,11.1,11.1,9.6,10.75,65660,10.63
319,4-Jul-25,HICL,812,Habib Ins.,8.67,8.67,8.5,8.52,121409,8.4
320,4-Jul-25,HIFA,806,HBL Invest FundXD,3.77,3.77,3.5,3.65,117152,3.44
